Technique,Precision,Recall,F1,MAP,AUC,True Positives,False Positives,False Negatives
Naming Conventions,100.0,10.4,18.5,13.8,0.0,5.8,0.0,51.5
Naming Conventions - Contains,84.2,31.1,43.5,37.4,0.0,17.5,3.5,39.8
Longest Common Subsequence - Both,62.4,72.8,67.0,74.5,71.3,41.2,24.8,16.0
Longest Common Subsequence - Unit,74.1,69.0,70.6,75.0,75.9,39.0,14.2,18.2
Levenshtein Distance,79.2,57.0,65.8,66.2,70.1,32.2,8.2,25.0
Last Call Before Assert,63.2,35.5,45.2,37.5,0.0,20.0,11.5,37.2
Tarantula,74.4,71.5,72.5,76.7,78.6,40.5,14.2,16.8
TF-IDF,82.1,63.7,71.5,71.4,77.5,36.0,7.8,21.2
TF-IDF (Multiset),75.6,58.0,65.2,63.8,68.7,32.8,10.5,24.5
Simple Average,89.1,72.1,79.6,78.4,83.3,41.0,5.0,16.2
Copilot,74.6,84.1,77.4,81.8,0.0,48.0,24.2,9.2
