Technique,Precision,Recall,F1,MAP,AUC,True Positives,False Positives,False Negatives
Naming Conventions,100.0,25.7,40.3,31.0,0,10.5,0.0,31.5
Naming Conventions - Contains,79.4,53.8,63.0,58.0,0,23.5,6.2,18.5
Longest Common Subsequence - Both,69.4,79.4,73.4,80.8,80.0,32.8,15.0,9.2
Longest Common Subsequence - Unit,67.2,69.7,68.3,70.2,79.5,29.0,13.8,13.0
Levenshtein Distance,83.2,70.6,76.4,74.3,80.1,29.5,5.8,12.5
Last Call Before Assert,55.2,62.4,58.1,58.0,0,26.2,20.2,15.8
Tarantula,66.4,64.6,64.6,65.6,67.1,26.5,14.0,15.5
TF-IDF,65.8,66.0,65.4,67.3,67.4,27.5,14.0,14.5
TF-IDF (Multiset),55.6,48.4,51.6,51.3,49.6,21.2,13.8,20.8
Simple Average,85.9,77.8,81.6,81.2,84.0,32.2,5.5,9.8
Copilot,77.4,82.5,79.4,85.7,0,34.0,9.5,8.0
