Technique,Precision,Recall,F1,MAP,AUC,True Positives,False Positives,False Negatives
Naming Conventions,100.0,10.4,18.5,13.8,0,5.8,0.0,51.5
Naming Conventions - Contains,84.2,31.1,43.5,37.7,0,17.5,3.5,39.8
Longest Common Subsequence - Both,62.4,72.8,67.0,75.3,59.8,41.2,24.8,16.0
Longest Common Subsequence - Unit,74.1,69.0,70.6,74.9,65.1,39.0,14.2,18.2
Levenshtein Distance,79.2,57.0,65.8,66.8,55.8,32.2,8.2,25.0
Last Call Before Assert,63.2,35.5,45.2,37.1,0,20.0,11.5,37.2
Tarantula,74.4,71.5,72.5,76.4,68.0,40.5,14.2,16.8
TF-IDF,82.1,63.7,71.5,71.2,63.5,36.0,7.8,21.2
TF-IDF (Multiset),45.9,37.3,41.0,40.9,14.7,20.8,21.5,36.5
Simple Average,88.8,69.6,77.9,76.7,73.6,39.5,5.0,17.8
Copilot,74.6,84.1,77.4,81.8,0,48.0,24.2,9.2
