Technique,Precision,Recall,F1,MAP,AUC,True Positives,False Positives,False Negatives
Naming Conventions,100.0,38.7,55.8,46.2,-,12,0,19
Naming Conventions - Contains,79.2,61.3,69.1,65.4,-,19,5,12
Longest Common Subsequence - Both,70.7,93.5,80.6,89.6,86.0,29,12,2
Longest Common Subsequence - Unit,62.2,74.2,67.6,77.6,77.5,23,14,8
Levenshtein Distance,88.9,77.4,82.8,82.7,86.5,24,3,7
Last Call Before Assert,52.3,74.2,61.3,68.3,-,23,21,8
Tarantula,59.0,74.2,65.7,73.1,70.3,23,16,8
TF-IDF,59.0,74.2,65.7,73.1,73.4,23,16,8
TF-IDF (Multiset),74.2,74.2,74.2,78.2,77.1,23,8,8
Combined,89.3,80.6,84.7,87.2,91.9,25,3,6
Copilot,80.6,93.5,86.6,94.9,-,29,7,2
