Depth,Function Type,Testing Method,Function Name,Fully Qualified Name,Line,Event Type,Return Value,Return Type,Exception Type,Exception Message,Thread ID
0,SOURCE CLASS,,Factorial,src.factorial.Factorial,1,CALL,,,,,140655815090816
0,SOURCE CLASS,,Factorial,src.factorial.Factorial,21,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD CALL,test_factorial,test.test_factorial.test_factorial,4,CALL,,,,,140655815090816
1,SOURCE,,factorial,src.factorial.Factorial.factorial,2,CALL,,,,,140655815090816
2,SOURCE,,inner_func,src.factorial.Factorial.factorial.<locals>.inner_func,3,CALL,,,,,140655815090816
2,SOURCE,,inner_func,src.factorial.Factorial.factorial.<locals>.inner_func,4,RETURN,2,<class 'int'>,,,140655815090816
2,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,14,CALL,,,,,140655815090816
2,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,19,RETURN,120,<class 'int'>,,,140655815090816
1,SOURCE,,factorial,src.factorial.Factorial.factorial,8,RETURN,120,<class 'int'>,,,140655815090816
1,ASSERT,,test_factorial,test.test_factorial.test_factorial,7,LINE,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD RETURN,test_factorial,test.test_factorial.test_factorial,7,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD CALL,test_factorial_iterative_success,test.test_factorial.test_factorial_iterative_success,9,CALL,,,,,140655815090816
1,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,14,CALL,,,,,140655815090816
1,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,19,RETURN,120,<class 'int'>,,,140655815090816
1,ASSERT,,test_factorial_iterative_success,test.test_factorial.test_factorial_iterative_success,12,LINE,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD RETURN,test_factorial_iterative_success,test.test_factorial.test_factorial_iterative_success,12,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD CALL,test_factorial_iterative_success_with_helper,test.test_factorial.test_factorial_iterative_success_with_helper,14,CALL,,,,,140655815090816
1,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,14,CALL,,,,,140655815090816
1,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,19,RETURN,120,<class 'int'>,,,140655815090816
1,TEST,,helper_check_assert_equals,test.test_factorial.helper_check_assert_equals,35,CALL,,,,,140655815090816
2,ASSERT,,helper_check_assert_equals,test.test_factorial.helper_check_assert_equals,36,LINE,,<class 'NoneType'>,,,140655815090816
1,TEST,,helper_check_assert_equals,test.test_factorial.helper_check_assert_equals,36,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD RETURN,test_factorial_iterative_success_with_helper,test.test_factorial.test_factorial_iterative_success_with_helper,17,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD CALL,test_factorial_recursive_success,test.test_factorial.test_factorial_recursive_success,19,CALL,,,,,140655815090816
1,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,21,CALL,,,,,140655815090816
2,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,21,CALL,,,,,140655815090816
3,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,21,CALL,,,,,140655815090816
4,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,21,CALL,,,,,140655815090816
5,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,21,CALL,,,,,140655815090816
6,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,21,CALL,,,,,140655815090816
6,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,23,RETURN,1,<class 'int'>,,,140655815090816
5,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,24,RETURN,2,<class 'int'>,,,140655815090816
4,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,24,RETURN,6,<class 'int'>,,,140655815090816
3,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,24,RETURN,24,<class 'int'>,,,140655815090816
2,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,24,RETURN,120,<class 'int'>,,,140655815090816
1,SOURCE,,factorial_recursive,src.factorial.Factorial.factorial_recursive,24,RETURN,720,<class 'int'>,,,140655815090816
1,ASSERT,,test_factorial_recursive_success,test.test_factorial.test_factorial_recursive_success,22,LINE,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD RETURN,test_factorial_recursive_success,test.test_factorial.test_factorial_recursive_success,22,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD CALL,test_factorial_iterative_success_not_zero,test.test_factorial.test_factorial_iterative_success_not_zero,24,CALL,,,,,140655815090816
1,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,14,CALL,,,,,140655815090816
1,SOURCE,,factorial_iterative,src.factorial.Factorial.factorial_iterative,19,RETURN,1,<class 'int'>,,,140655815090816
1,ASSERT,,test_factorial_iterative_success_not_zero,test.test_factorial.test_factorial_iterative_success_not_zero,27,LINE,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD RETURN,test_factorial_iterative_success_not_zero,test.test_factorial.test_factorial_iterative_success_not_zero,27,RETURN,,<class 'NoneType'>,,,140655815090816
0,TEST,TEST METHOD CALL,test_factorial_exception,test.test_factorial.test_factorial_exception,30,CALL,,,,,140655815090816
1,SOURCE,,factorial,src.factorial.Factorial.factorial,2,CALL,,,,,140655815090816
2,SOURCE,,inner_func,src.factorial.Factorial.factorial.<locals>.inner_func,3,CALL,,,,,140655815090816
2,SOURCE,,inner_func,src.factorial.Factorial.factorial.<locals>.inner_func,4,RETURN,2,<class 'int'>,,,140655815090816
2,SOURCE,,factorial,src.factorial.Factorial.factorial,12,EXCEPTION,,,<class 'ValueError'>,Invalid factorial type,
